개방시설명,개방장소명,개방시설유형구분,휴관일,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,유료사용여부,사용기준시간,사용료,초과사용단위시간,초과사용료,수용가능인원수,면적,부대시설정보,신청방법구분,시설사진정보,소재지도로명주소,소재지지번주소,관리기관명,담당부서명,사용안내전화번호,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
공연장,경기소리전수관,다목적실,-,08:00,23:00,08:00,23:00,Y,1,7500,,9000,90,195,,"전화, 방문, 이메일",,경기도 과천시 문원로 40-2,경기도 과천시 문원동 89-12번지,경기소리전수관,,02-507-5825,www.gsih.or.kr,37.426531,127.005476,2020-03-03,3970000,경기도 과천시
강의실2배움터,과천문화원,다목적실,-,08:00,23:00,08:00,23:00,Y,1,5000,,6000,20,58,,"인터넷, 전화, 방문, 이메일",,경기도 과천시 문원로 40-1,경기도 과천시 문원동 31-7번지,과천문화원,,02-504-6513,www.gccc.or.kr,37.426531,127.005476,2020-03-03,3970000,경기도 과천시
대연습실,경기소리전수관,다목적실,-,08:00,23:00,08:00,23:00,Y,1,5000,,6000,50,203,,"전화, 방문, 이메일",,경기도 과천시 문원로 40-2,경기도 과천시 문원동 89-12번지,경기소리전수관,,02-507-5825,www.gsih.or.kr,37.426531,127.005476,2020-03-03,3970000,경기도 과천시
행정복지센터,갈현동문화교육센터,강당,"법정공휴일,주말(토/일)",09:00,18:00,00:00,00:00,Y,2,"30,000",1,10000,20,258,"음향기기(스피커, 마이크), 책상 14개, 의자38개",방문,,경기도 과천시 중앙로 28,경기도 과천시 갈현동 678,과천시청,문화센터,02-507-7861,www.gccity.go.kr,37.421067,126.988906,2020-03-03,3970000,경기도 과천시
행정복지센터,갈현동행정복지센터,다목적실,"추석,설날",09:00,18:00,09:00,18:00,N,2,,,,,,탁구대(3개),방문,,경기도 과천시 중앙로 28,경기도 과천시 갈현동 678,과천시청,문화센터,02-507-7861,www.gccity.go.kr,37.421067,126.988906,2020-03-03,3970000,경기도 과천시
열린강좌실,과천시의회,다목적실,"법정공휴일,주말(토/일)",09:00,18:00,00:00,00:00,N,,,,,50,83,"빔프로젝터, 무선마이크 2대, 책상18개, 의장36개",방문.전화,,경기도 과천시 관문로 69,경기도 과천시 중앙동 1-3번지,경기도 과천시의회,의회사무과,02-3677-2524,www.gccouncil.go.kr,37.429426,126.986601,2020-03-03,3970000,경기도 과천시
연제구국민체육센터,연제구국민체육센터,체육관,둘째넷째주 월요일,06:00,22:00,09:00,17:00,Y,4,"88,000",,,,848.64,,인터넷,http://sports.yeonje.go.kr/subpage/index/6,부산광역시 연제구 쌍미천로 132,부산광역시 연제구 연산동 639-13,부산광역시 연제구청,문화체육과,051-665-5127,sports.yeonje.go.kr,35.18415232,129.087474,2020-02-25,3370000,부산광역시 연제구
연제구청,연제구청 지하1층 구민홀,강당,연중무휴,09:00,18:00,09:00,18:00,Y,2,"100,000",,,340,,,"방문, 팩스",,부산광역시 연제구 연제로 2(연산동),부산광역시 연제구 연산동 1555,부산광역시 연제구청,재무과,051-665-4152,,35.17679523,129.0791111,2020-02-25,3370000,부산광역시 연제구
연제구청,연제구청 2층 대회의실,강당,연중무휴,09:00,18:00,09:00,18:00,Y,2,"80,000",,,100,,,"방문, 팩스",,부산광역시 연제구 연제로 2(연산동),부산광역시 연제구 연산동 1555,부산광역시 연제구청,재무과,051-665-4152,,35.17679523,129.0791111,2020-02-25,3370000,부산광역시 연제구
연제도서관 강의실,연제도서관 지하1층 강의실,강의실,"매주 월요일,공휴일",09:00,18:00,09:00,18:00,Y,1,"20,000",,,28,,,,,부산광역시 연제구 황령산로 612(연산동),부산광역시 연제구 연산동 2302,부산광역시 연제구청,평생학습과,051-665-5514,,35.17414442,129.0829683,2020-02-25,3370000,부산광역시 연제구
연제도서관 강의실,연제도서관 지하1층 강의실,강의실,"매주 월요일,공휴일",09:00,18:00,09:00,18:00,Y,1,"20,000",,,30,,,,,부산광역시 연제구 황령산로 612(연산동),부산광역시 연제구 연산동 2302,부산광역시 연제구청,평생학습과,051-665-5514,,35.17414442,129.0829683,2020-02-25,3370000,부산광역시 연제구
연제도서관 강당,연제도서관 지하1층 강당,강당,"매주 월요일,공휴일",09:00,18:00,09:00,18:00,Y,1,"80,000",,,87,,,,,부산광역시 연제구 황령산로 612(연산동),부산광역시 연제구 연산동 2302,부산광역시 연제구청,평생학습과,051-665-5514,,35.17414442,129.0829683,2020-02-25,3370000,부산광역시 연제구
연제구복합문화센터 강당,연제구복합문화센터 5층 강당,강당,"매주 토,일요일,공휴일",09:00,18:00,00:00,00:00,Y,4,"80,000",,,150,,,"방문, 팩스",,부산광역시 연제구 거제대로 180(거제동),부산광역시 연제구 거제동 581-1,부산광역시 연제구청,문화체육과,051-665-4065,,35.18428424,129.0712012,2020-02-25,3370000,부산광역시 연제구
연제구복합문화센터 강의실,연제문화원 3층 강의실,강의실,"매주 토,일요일,공휴일",09:00,18:00,00:00,00:00,N,,,,,30,,,,,부산광역시 연제구 거제대로 180(거제동),부산광역시 연제구 거제동 581-1,부산광역시 연제구청,문화체육과,051-665-4065,,35.18428424,129.0712012,2020-02-25,3370000,부산광역시 연제구
연제구복합문화센터 강의실,연제문화원 4층 강의실,강의실,"매주 토,일요일,공휴일",09:00,18:00,00:00,00:00,N,,,,,30,,,,,부산광역시 연제구 거제대로 180(거제동),부산광역시 연제구 거제동 581-1,부산광역시 연제구청,문화체육과,051-665-4065,,35.18428424,129.0712012,2020-02-25,3370000,부산광역시 연제구
호반테니스장,호반테니스장,테니스장,연중무휴,06:00,22:00,06:00,18:00,Y,2,춘천시 체육시설 관리운영 조례 준함,,,900,324,,,,강원도 춘천시 우석로 102-1,,강원도 춘천시청,체육과,033-264-0279,www.cuc.or.kr,37.864992,127.755425,2020-07-13,4180000,강원도 춘천시
거제평생학습관 강의실,거제평생학습관 2층 강의실,강의실,"매주 토,일요일,공휴일",10:00,18:00,00:00,00:00,N,3,,,,10,,,,,부산광역시 연제구 거제대로 180(거제동),부산광역시 연제구 거제동 581-1,부산광역시 연제구청,평생학습과,051-665-4505,,35.18428424,129.0712012,2020-02-25,3370000,부산광역시 연제구
거제1동주민센터 다목적실,거제1동주민센터 3층 다목적실,다목적실,"매주 토,일요일,공휴일",09:00,18:00,00:00,00:00,N,,,,,100,,,,,부산광역시 연제구 법원북로 88(거제동),부산광역시 연제구 거제동 1485-1,부산광역시 연제구청,거제1동,051-665-5712,,35.19185363,129.0756394,2020-02-25,3370000,부산광역시 연제구
광산문화예술회관 공연장,광산문화예술회관,기타,주말,09:00,22:00,09:00,22:00,Y,,"오전(70,000원)/오후(90,000원)/야간(120,000원)",1,40000,548,4355,"음향, 조명, 무대기계, 냉난방, 빔프로젝터, 스크린, 음향반사판, 주차장 등",인터넷,,광주광역시 광산구 광산로 68,광주광역시 광산구 송정동 582-1,광산구청,문화예술과,062-960-8860,http://art.gwangsan.go.kr,35.1406444581,126.7986431904,2020-07-20,3630000,광주광역시 광산구
광산구장애인복지관 강당,광산구장애인복지관,강당,일,09:00,19:00,09:00,15:00,Y,1,50000,1,10000,80,159,"음향, 빔프로젝트, 냉난방, 조명",방문전화,,광주광역시 광산구 무진대로 276,광주광역시 광산구 우산동 1595-1,광산구청,공동체복지과,062-943-0420,www.gwangsan.go.kr,35.1608974719,126.8106140185,2020-07-20,3630000,광주광역시 광산구
광산구장애인복지관 프로그램실,광산구장애인복지관,강의실,일,09:00,19:00,09:00,15:00,Y,1,25000,1,5000,15,70,"빔프로젝트, 냉난방",방문전화,,광주광역시 광산구 무진대로 276,광주광역시 광산구 우산동 1595-1,광산구청,공동체복지과,062-943-0420,www.gwangsan.go.kr,35.1608974719,126.8106140185,2020-07-20,3630000,광주광역시 광산구
광주광산지역자활센터 교육장,광주광산지역자활센터,강의실,주말,14:00,18:00,00:00,00:00,Y,,,,,50,106,"칠판, 빔프로젝터, 탁자 의자, 음향, 냉난방, 주차장 등",방문전화,,광주광역시 광산구 용아로 391,광주광역시 광산구 하남동 779,광산구청,공동체복지과,062-941-1633,www.gwangsan.go.kr,35.1782908249,126.8042985651,2020-07-20,3630000,광주광역시 광산구
더불어락 노인복지관 대강당,더불어락노인복지관,강당,일,09:00,18:00,09:00,16:00,Y,2,100000,,,100,204,"음향, 빔프로젝트, 냉난방, 컴퓨터, 주차장 등",방문전화,,광주광역시 광산구 목련로 156,광주광역시 광산구 운남동 799-1,광산구청,공동체복지과,062-960-3902,www.gwangsan.go.kr,35.1714407459,126.8159420795,2020-07-20,3630000,광주광역시 광산구
더불어락 노인복지관 협동의 방,더불어락노인복지관,다목적실,일,09:00,18:00,09:00,16:00,Y,2,30000,,,40,176.5,"음향, 빔프로젝트, 냉난방, 컴퓨터, 주차장 등",방문전화,,광주광역시 광산구 목련로 156,광주광역시 광산구 운남동 799-1,광산구청,공동체복지과,062-960-3902,www.gwangsan.go.kr,35.1714407459,126.8159420795,2020-07-20,3630000,광주광역시 광산구
더불어락 노인복지관 마을도서관,더불어락노인복지관,기타,일,09:00,18:00,09:00,16:00,N,,,,,30,86.7,,방문전화,,광주광역시 광산구 목련로 156,광주광역시 광산구 운남동 799-1,광산구청,공동체복지과,062-960-3902,www.gwangsan.go.kr,35.1714407459,126.8159420795,2020-07-20,3630000,광주광역시 광산구
더불어락 노인복지관 자주의 방,더불어락노인복지관,강의실,일,09:00,18:00,09:00,16:00,Y,2,30000,,,30,72.4,"음향, 빔프로젝트, 냉난방, 컴퓨터, 주차장 등",방문전화,,광주광역시 광산구 목련로 156,광주광역시 광산구 운남동 799-1,광산구청,공동체복지과,062-960-3902,www.gwangsan.go.kr,35.1714407459,126.8159420795,2020-07-20,3630000,광주광역시 광산구
더불어락 노인복지관 공생의 방,더불어락노인복지관,강의실,일,09:00,18:00,09:00,16:00,N,2,30000,,,30,74.5,"음향, 빔프로젝트, 냉난방, 컴퓨터, 주차장 등",방문전화,,광주광역시 광산구 목련로 156,광주광역시 광산구 운남동 799-1,광산구청,공동체복지과,062-960-3902,www.gwangsan.go.kr,35.1714407459,126.8159420795,2020-07-20,3630000,광주광역시 광산구
더불어락 노인복지관 청춘의 방,더불어락노인복지관,강의실,일,09:00,18:00,09:00,16:00,Y,2,30000,,,15,35.6,"음향, 빔프로젝트, 냉난방, 컴퓨터, 주차장 등",방문전화,,광주광역시 광산구 목련로 156,광주광역시 광산구 운남동 799-1,광산구청,공동체복지과,062-960-3902,www.gwangsan.go.kr,35.1714407459,126.8159420795,2020-07-20,3630000,광주광역시 광산구
더불어락 노인복지관 낭만의 방,더불어락노인복지관,강당,일,09:00,18:00,09:00,16:00,Y,2,100000,,,50,133.6,"음향, 빔프로젝트, 냉난방, 컴퓨터, 주차장 등",방문전화,,광주광역시 광산구 목련로 156,광주광역시 광산구 운남동 799-1,광산구청,공동체복지과,062-960-3902,www.gwangsan.go.kr,35.1714407459,126.8159420795,2020-07-20,3630000,광주광역시 광산구
도란도란한옥 북카페,도란도란한옥 북카페,기타,주말,09:00,18:00,00:00,00:00,Y,1,50000,,,20,72.6,"주차장, 빔프로젝트, 음향",전화문의,,광주광역시 광산구 비아중앙로31번길 6,광주광역시 광산구 비아동 105,광산구청,비아동 행정복지센터,062-960-7694,www.gwangsan.go.kr,35.2221708262,126.8245445744,2020-07-20,3630000,광주광역시 광산구
도산동행정복지센터 회의실,도산동 행정복지센터,회의실,주말,10:00,17:00,00:00,00:00,N,,,,,30,89.1,"음향, 조명등",전화,,광주광역시 광산구 도산로 12,광주광역시 광산구 도산동 1084-5,광산구청,도산동 행정복지센터,062-960-7623,www.gwangsan.go.kr,35.1295138030,126.7918594150,2020-07-20,3630000,광주광역시 광산구
도산동 행정제작소마당 꿈나눔방,도산동 행정복지센터,회의실,주말,10:00,17:00,00:00,00:00,N,,,,,15,24.3,"빔프로젝터, 냉난방 등",전화,,광주광역시 광산구 도산로 12,광주광역시 광산구 도산동 1084-5,광산구청,도산동 행정복지센터,062-960-7623,www.gwangsan.go.kr,35.1295138030,126.7918594150,2020-07-20,3630000,광주광역시 광산구
동곡동 행정복지센터 회의실,동곡동 행정복지센터,회의실,주말,10:00,17:00,00:00,00:00,N,,,,,80,166,"빔프로젝터, 책상, 의자",전화,,광주광역시 광산구 동곡로 151-56,광주광역시 광산구 하산동 134-1,광산구청,동곡동 행정복지센터,062-960-7834,www.gwangsan.go.kr,35.0986370707,126.7720385385,2020-07-20,3630000,광주광역시 광산구
동곡동 행정복지센터 별관어울방,동곡동 행정복지센터,회의실,주말,10:00,17:00,00:00,00:00,N,,,,,30,155,"테이블, 의자, 음향시설",전화,,광주광역시 광산구 동곡로 151-56,광주광역시 광산구 하산동 134-1,광산구청,동곡동 행정복지센터,062-960-7834,www.gwangsan.go.kr,35.0986370707,126.7720385385,2020-07-20,3630000,광주광역시 광산구
본량동 행정복지센터 대회의실,본량동 행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,30,244,"책상, 의자, 음향시설",전화,,광주광역시 광산구 용진로 379,광주광역시 광산구 남산동 698-20,광산구청,본량동 행정복지센터,062-960-7869,www.gwangsan.go.kr,35.1808096951,126.7287912209,2020-07-20,3630000,광주광역시 광산구
비아동 행정복지센터 회의실,비아동 행정복지센터,회의실,주말,09:00,18:00,00:00,00:00,N,,,,,30,194.7,"탁자, 의자, 단상, 음향시설, 빔프로젝트 등",전화(이용 5일전),,광주광역시 광산구 비아중앙로31번길 6,광주광역시 광산구 비아동 105,광산구청,비아동 행정복지센터,062-960-7962,www.gwangsan.go.kr,35.2221708262,126.8245445744,2020-07-20,3630000,광주광역시 광산구
삼도동 행정복지센터 북카페,삼도동 행정복지센터,기타,주말,09:00,18:00,00:00,00:00,N,,,,,20,75,"탁자, 의자, 단상, 냉난방",상시시용,,광주광역시 광산구 오운로 433-1,광주광역시 광산구 도덕동 644-1,광산구청,삼도동 행정복지센터,062-960-7852,www.gwangsan.go.kr,35.1620882119,126.6974313935,2020-07-20,3630000,광주광역시 광산구
삼도동 행정복지센터 주민자치방(2층),삼도동 행정복지센터,다목적실,주말,09:00,18:00,00:00,00:00,N,,,,,20,103.8,"조명, 탁구대, 라켓, 탁구공, 의자, 책상",전화(이용 7일전),,광주광역시 광산구 오운로 433-1,광주광역시 광산구 도덕동 644-1,광산구청,삼도동 행정복지센터,062-960-7852,www.gwangsan.go.kr,35.1620882119,126.6974313935,2020-07-20,3630000,광주광역시 광산구
소촌아트팩도리 큐브미술관,소촌아트팩토리,기타,월,10:00,18:00,10:00,18:00,Y,8,100000 / 냉난방 50000,,,0,257.14,,전화,,광주광역시 광산구 소촌로85번길 14-9,광주광역시 광산구 소촌동 845,광산구청,문화예술과,062-960-3688,www.gwangsan.go.kr,35.1526272145,126.7912342748,2020-07-20,3630000,광주광역시 광산구
마장공원 농구장,마장공원,농구장,연중무휴,00:00,00:00,00:00,00:00,N,,0,,,,15020,,,http://www.icbp.go.kr/open_content/reservation/facilities/field/guide.jsp,,인천광역시 부평구 산곡동 261-1,인천광역시 부평구청,공원녹지과,032-509-6973,www.icbp.go.kr,37.500735,126.707336,2020-03-10,3540000,인천광역시 부평구
후정공원 농구장,후정공원,농구장,연중무휴,00:00,00:00,00:00,00:00,N,,0,,,,22796,,,http://www.icbp.go.kr/open_content/reservation/facilities/field/guide.jsp,,인천광역시 부평구 삼산동 386,인천광역시 부평구청,공원녹지과,032-509-6973,www.icbp.go.kr,37.523495,126.742976,2020-03-10,3540000,인천광역시 부평구
구산공원 농구장,구산공원,농구장,연중무휴,00:00,00:00,00:00,00:00,N,,0,,,,5473,,,http://www.icbp.go.kr/open_content/reservation/facilities/field/guide.jsp,,인천광역시 부평구 구산동 361,인천광역시 부평구청,공원녹지과,032-509-6973,www.icbp.go.kr,37.475876,126.748541,2020-03-10,3540000,인천광역시 부평구
영성공원 농구장,영성공원,농구장,연중무휴,00:00,00:00,00:00,00:00,N,,0,,,,10523,,,http://www.icbp.go.kr/open_content/reservation/facilities/field/guide.jsp,,인천광역시 부평구 삼산동 388-2,인천광역시 부평구청,공원녹지과,032-509-6973,www.icbp.go.kr,37.521625,126.740421,2020-03-10,3540000,인천광역시 부평구
세영공원 농구장,세영공원,농구장,연중무휴,00:00,00:00,00:00,00:00,N,,0,,,,10105,,,http://www.icbp.go.kr/open_content/reservation/facilities/field/guide.jsp,,인천광역시 부평구 부개동 500-2,인천광역시 부평구청,공원녹지과,032-509-6973,www.icbp.go.kr,37.499809,126.736751,2020-03-10,3540000,인천광역시 부평구
백운공원 게이트볼장,백운공원,기타,연중무휴,00:00,00:00,00:00,00:00,N,,0,,,,61582,,,http://www.icbp.go.kr/open_content/reservation/facilities/field/guide.jsp,,인천광역시 부평구 십정동 186-419,인천광역시 부평구청,공원녹지과,032-509-6973,www.icbp.go.kr,37.481739,126.703429,2020-03-10,3540000,인천광역시 부평구
희망공원 게이트볼장,희망공원,기타,연중무휴,00:00,00:00,00:00,00:00,N,,0,,,,73923,,,http://www.icbp.go.kr/open_content/reservation/facilities/field/guide.jsp,,인천광역시 부평구 부평동 768-320,인천광역시 부평구청,공원녹지과,032-509-6973,www.icbp.go.kr,37.483881,126.713249,2020-03-10,3540000,인천광역시 부평구
부들공원 게이트볼장,부들공원,기타,연중무휴,00:00,00:00,00:00,00:00,N,,0,,,,12199,,,http://www.icbp.go.kr/open_content/reservation/facilities/field/guide.jsp,,인천광역시 부평구 삼산동 541,인천광역시 부평구청,공원녹지과,032-509-6973,www.icbp.go.kr,37.515236,126.748654,2020-03-10,3540000,인천광역시 부평구
중부동공원 게이트볼장,중부동공원,기타,연중무휴,00:00,00:00,00:00,00:00,N,,0,,,,4489,,,http://www.icbp.go.kr/open_content/reservation/facilities/field/guide.jsp,,인천광역시 부평구 부평동 104-10,인천광역시 부평구청,공원녹지과,032-509-6973,www.icbp.go.kr,37.500692,126.733251,2020-03-10,3540000,인천광역시 부평구
부흥공원 게이트볼장,부흥공원,기타,연중무휴,00:00,00:00,00:00,00:00,N,,0,,,,3756,,,http://www.icbp.go.kr/open_content/reservation/facilities/field/guide.jsp,,인천광역시 부평구 부평동 178,인천광역시 부평구청,공원녹지과,032-509-6973,www.icbp.go.kr,37.495191,126.731050,2020-03-10,3540000,인천광역시 부평구
신트리공원 배드민턴장,신트리공원,배드맨턴장,연중무휴,00:00,00:00,00:00,00:00,N,,0,,,,58595,,,http://www.icbp.go.kr/open_content/reservation/facilities/field/guide.jsp,,인천광역시 부평구 부평동 891,인천광역시 부평구청,공원녹지과,032-509-6973,www.icbp.go.kr,37.506581,126.723639,2020-03-10,3540000,인천광역시 부평구
굴포공원 배드민턴장,굴포공원,배드맨턴장,연중무휴,00:00,00:00,00:00,00:00,N,,0,,,,20529,,,http://www.icbp.go.kr/open_content/reservation/facilities/field/guide.jsp,,인천광역시 부평구 갈산동 372-2,인천광역시 부평구청,공원녹지과,032-509-6973,www.icbp.go.kr,37.509214,126.724375,2020-03-10,3540000,인천광역시 부평구
부개공원 배드민턴장,부개공원,배드맨턴장,연중무휴,00:00,00:00,00:00,00:00,N,,0,,,,10986,,,http://www.icbp.go.kr/open_content/reservation/facilities/field/guide.jsp,,인천광역시 부평구 부개동 497-2,인천광역시 부평구청,공원녹지과,032-509-6973,www.icbp.go.kr,37.506048,126.741171,2020-03-10,3540000,인천광역시 부평구
도드리공원 배드민턴장,도드리공원,배드맨턴장,연중무휴,00:00,00:00,00:00,00:00,N,,0,,,,3239,,,http://www.icbp.go.kr/open_content/reservation/facilities/field/guide.jsp,,인천광역시 부평구 삼산동 391-4,인천광역시 부평구청,공원녹지과,032-509-6973,www.icbp.go.kr,37.520724,126.745956,2020-03-10,3540000,인천광역시 부평구
후정공원 배드민턴장,후정공원,배드맨턴장,연중무휴,00:00,00:00,00:00,00:00,N,,0,,,,22796,,,http://www.icbp.go.kr/open_content/reservation/facilities/field/guide.jsp,,인천광역시 부평구 삼산동 386,인천광역시 부평구청,공원녹지과,032-509-6973,www.icbp.go.kr,37.523495,126.742976,2020-03-10,3540000,인천광역시 부평구
새울공원 배드민턴장,새울공원,배드맨턴장,연중무휴,00:00,00:00,00:00,00:00,N,,0,,,,1800,,,http://www.icbp.go.kr/open_content/reservation/facilities/field/guide.jsp,,인천광역시 부평구 부개동 499-3,인천광역시 부평구청,공원녹지과,032-509-6974,www.icbp.go.kr,37.503405,126.740595,2020-03-10,3540000,인천광역시 부평구
햇살공원 배드민턴장,햇살공원,배드맨턴장,연중무휴,00:00,00:00,00:00,00:00,N,,0,,,,3338,,,http://www.icbp.go.kr/open_content/reservation/facilities/field/guide.jsp,,인천광역시 부평구 삼산동 427-6,인천광역시 부평구청,공원녹지과,032-509-6973,www.icbp.go.kr,37.516117,126.732888,2020-03-10,3540000,인천광역시 부평구
구산공원 배드민턴장,구산공원,배드맨턴장,연중무휴,00:00,00:00,00:00,00:00,N,,0,,,,5473,,,http://www.icbp.go.kr/open_content/reservation/facilities/field/guide.jsp,,인천광역시 부평구 구산동 361,인천광역시 부평구청,공원녹지과,032-509-6973,www.icbp.go.kr,37.475876,126.748541,2020-03-10,3540000,인천광역시 부평구
백운공원 배드민턴장,백운공원,배드맨턴장,연중무휴,00:00,00:00,00:00,00:00,N,,0,,,,61582,,,http://www.icbp.go.kr/open_content/reservation/facilities/field/guide.jsp,,인천광역시 부평구 십정동 186-419,인천광역시 부평구청,공원녹지과,032-509-6974,www.icbp.go.kr,37.481739,126.703429,2020-03-10,3540000,인천광역시 부평구
부평숲 인천나비공원 전시실,부평숲 인천나비공원,전시실,"매주 월요일, 1월1일, 설날, 추석 당일",10:00,18:00,10:00,18:00,N,,0,,,60,1281,카페 (매점),인터넷/전화,http://butterflypark.icbp.go.kr/html/03_view/view.asp?tabNum=1,인천광역시 부평구 평천로 26-47,인천광역시 부평구 청천동 68-12,인천광역시 부평구청,공원녹지과,032-509-8821,http://butterflypark.icbp.go.kr/,37.520268,126.692725,2020-03-10,3540000,인천광역시 부평구
뫼골문화회관 교육실,뫼골문화회관,강의실,매주 일요일,09:00,18:00,09:00,18:00,Y,1,10000,,1,40,63,"빔, 음향시설, 냉난방기, 책상 20개, 의자 40개",전화,,인천광역시 부평구 세월천로 82,인천광역시 부평구 산곡동 58-3,인천광역시 부평구청,자치행정과,032-508-0206,,37.513881,126.700769,2020-03-10,3540000,인천광역시 부평구
뫼골문화회관 사랑방,뫼골문화회관,강의실,매주 일요일,09:00,18:00,09:00,18:00,Y,1,5000,,1,15,18,"책상 10개, 의자 20개",전화,,인천광역시 부평구 세월천로 82,인천광역시 부평구 산곡동 58-3,인천광역시 부평구청,자치행정과,032-508-0206,,37.513881,126.700769,2020-03-10,3540000,인천광역시 부평구
게이트볼장,서귀포전천후게이트볼장,기타,1월1일. 설날. 추석,06:00,22:00,06:00,22:00,Y,,,,,,,,,,제주특별자치도 서귀포시 서홍로 40,,제주특별자치도 서귀포시,체육진흥과,064-760-3621,http://www.seogwipo.go.kr/field/living/sportsfacilities/status.htm,33.251233,126.5537156247,2020-06-25,6520000,제주특별자치도 서귀포시
롤러스케이트장,서귀포인라인롤러장,기타,1월1일. 설날. 추석,06:00,22:00,06:00,22:00,Y,,,,,,,,,,제주특별자치도 서귀포시 중산간서로 95,,제주특별자치도 서귀포시,체육진흥과,064-760-3621,http://www.seogwipo.go.kr/field/living/sportsfacilities/status.htm,33.258191,126.5017748636,2020-06-25,6520000,제주특별자치도 서귀포시
체육관,서귀포올림픽기념국민생활관,체육관,1월1일. 설날. 추석,06:00,22:00,06:00,22:00,Y,,,,,,,,,,제주특별자치도 서귀포시 중산간서로 91-7,,제주특별자치도 서귀포시,체육진흥과,064-760-3631,http://www.seogwipo.go.kr/field/living/sportsfacilities/status.htm,33.261016,126.499468,2020-06-25,6520000,제주특별자치도 서귀포시
